Intent,Query
Small Talk,Hello
Small Talk,"Hello, how are you?"
Small Talk,"Hello, whats up?"
Small Talk,"Hello, how are things?"
Small Talk,Hi
Small Talk,"Hi, how are you?"
Small Talk,"Hi, whats up?"
Small Talk,"Hi, how are things?"
Small Talk,Hey
Small Talk,"Hey, how are you?"
Small Talk,Very Good
Small Talk,Good
Small Talk,Very Well
Small Talk,Well
Small Talk,Great
Small Talk,Im good
Small Talk,I'm very well
Small Talk,I'm great
Small Talk,Okay
Small Talk,Fine
Small Talk,How are you?
Small Talk,How are you?
Small Talk,How are you? 
Small Talk,Not great
Small Talk,Not very well
Small Talk,Not good
Small Talk,meh
Small Talk,Good morning
Small Talk,Good afternoon
Small Talk,Good evening
Question,what county is galveston in texas
Question,what cities are in the bahamas
Question,what cities are in the bahamas
Question,how many schools are in the big ten
Question,How many states and territories are within India?
Question,how is whooping cough distinguished from similar diseases
Question,how is whooping cough distinguished from similar diseases
Question,how are glacier caves formed?
Question,how a water pump works
Question,"how big is bmc software in houston, tx"
Question,"how big is bmc software in houston, tx"
Question,how much is 1 tablespoon of water
Question,how much is 1 tablespoon of water
Question,how much is 1 tablespoon of water
Question,how much are the harry potter movies worth
Question,how a rocket engine works
Question,how old was sue lyon when she made lolita
Question,how are cholera and typhus transmitted and prevented
Question,how did anne frank die
Question,how are aircraft radial engines built
Question,how deep can be drill for deep underwater
Question,how old was monica lewinsky during the affair
Question,how long was frank sinatra famous
Question,how are antibodies used in
Question,how are antibodies used in
Question,how are antibodies used in
Question,how are antibodies used in
Question,how much is jk rowling worth
Question,how big is auburndale florida
Question,"how old is kirk douglas, the actor?"
Question,how old is the singer bob seger
Question,how long was i love lucy on the air
Question,how long was richard nixon a president
Question,HOW MUCH IS CENTAVOS IN MEXICO
Question,How long was Mickie James with WWE?
Question,how did armando christian perez become famous
Question,how old were the twin towers when destroyed
Question,how are the # of electrons in each shell determined
Question,how many presidents of the us
Question,how old is beatrice author
Question,how are public schools funded
Question,how are public schools funded
Question,what happens  to the light independent reactions of photosynthesis?
Question,what happens  to the light independent reactions of photosynthesis?
Question,how does interlibrary loan work
Question,how does interlibrary loan work
Question,what did mia hamm do his work
Question,what bacteria grow on macconkey agar
Question,what countries are under the buddhism religion
Question,how did wild bill's father die
Question,how many land rovers have landed on mars
Question,how do forensic auditors examine financial reporting
Question,how do forensic auditors examine financial reporting
Question,how do forensic auditors examine financial reporting
Question,what bird family is the owl
Question,how did harmon killebrew get strong
Question,What did the augurs use to interpret the will of the gods?
Question,How much did Waterboy grossed
Question,"What county is Farmington Hills, MI in?"
Question,what does a groundhog look for on groundhog day
Question,What committees are joint committees
Question,how many stripes on the flag
